,Timestamp,Year of joining the Firm ( Eg: 2016) ,Industry Domain,Type ,Firm CTC,Duration of Employment?,Satisfaction in your Company ,Ability to Grow in the industry ,Choice
377,2020/01/19 12:58:09 AM GMT+5:30,2015,"UI, BIGDATA",1,2,2 Years,Very Satisfied,High Growth,Work
378,2020/01/19 4:11:21 AM GMT+5:30,2019,Consulting ,1,1,< 1 Year,Very Satisfied,High Growth,Work
379,2020/01/19 7:55:41 AM GMT+5:30,2005,Banking,0,3,3 Years,Satisfied,High Growth,Higher Studies
380,2020/01/19 9:24:08 AM GMT+5:30,2019,Technology consulting,1,1,< 1 Year,Very Satisfied,High Growth,Work
381,2020/01/19 10:23:24 AM GMT+5:30,2019,IT,1,1,< 1 Year,Satisfied,High Growth,Work
382,2020/01/19 10:38:34 AM GMT+5:30,2019,Travel Tech,0,1,< 1 Year,Very Satisfied,High Growth,Work
383,2020/01/19 12:17:00 PM GMT+5:30,2019,Healthcare,0,2,< 1 Year,Very Satisfied,High Growth,Work
384,2020/01/19 1:04:11 PM GMT+5:30,2019,Web Scrapiny,1,2,< 1 Year,Satisfied,High Growth,Work
385,2020/01/19 1:08:38 PM GMT+5:30,2019,Networking,0,1,< 1 Year,Very Satisfied,High Growth,Work
386,2020/01/19 5:47:15 PM GMT+5:30,2019,Insurance Domain,0,2,2 Years,Not Satisfied,Low Growth,Higher Studies
387,2020/01/19 6:46:07 PM GMT+5:30,2019,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
388,2020/01/20 8:33:01 AM GMT+5:30,2019,IT,1,2,< 1 Year,Satisfied,Mid Growth,Higher Studies
389,2020/01/20 10:26:22 AM GMT+5:30,2016,Web development,1,3,< 1 Year,Very Satisfied,High Growth,Work
390,2020/01/20 10:29:11 AM GMT+5:30,2019,IT,1,3,< 1 Year,Satisfied,Mid Growth,Work
391,2020/01/20 5:02:22 PM GMT+5:30,2019,IT,1,2,> 3 Years,Very Satisfied,High Growth,Work
392,2020/01/20 11:06:36 PM GMT+5:30,2019,Telecom,1,1,< 1 Year,Very Satisfied,High Growth,Work
393,2020/01/22 1:13:06 AM GMT+5:30,2019,Healthcare,0,1,< 1 Year,Very Satisfied,High Growth,Work
394,2020/01/22 1:32:59 PM GMT+5:30,2019,Telecommunication,0,2,< 1 Year,Satisfied,Mid Growth,Work
395,2020/01/22 11:35:27 PM GMT+5:30,2019,Consulting,0,2,< 1 Year,Very Satisfied,High Growth,Work
396,2020/01/23 2:18:37 AM GMT+5:30,2019,Networking / Telecommunication,0,1,< 1 Year,Very Satisfied,High Growth,Work
397,2020/01/25 11:21:29 AM GMT+5:30,2019,IT,0,3,< 1 Year,Satisfied,Mid Growth,Work
398,2020/02/07 8:43:26 AM GMT+5:30,2019,IT,0,1,< 1 Year,Very Satisfied,High Growth,Work
399,2020/02/11 7:32:21 PM GMT+5:30,2019,IT,0,1,< 1 Year,Very Satisfied,High Growth,Work
400,2020/01/17 4:53:33 PM GMT+5:30,2018,,0,2,2 Years,Very Satisfied,Mid Growth,Higher Studies
401,2020/01/17 5:05:02 PM GMT+5:30,2018,,0,2,< 1 Year,Not Satisfied,Low Growth,Work
402,2020/01/17 5:33:24 PM GMT+5:30,2019,,0,1,< 1 Year,Very Satisfied,High Growth,Work
403,2020/01/17 5:49:48 PM GMT+5:30,2019,,0,3,< 1 Year,Satisfied,Mid Growth,Work
404,2020/01/17 5:49:49 PM GMT+5:30,2018,,0,2,2 Years,Very Satisfied,High Growth,Work
405,2020/01/17 5:54:50 PM GMT+5:30,2016,,1,3,< 1 Year,Very Satisfied,High Growth,Work
406,2020/01/17 6:13:46 PM GMT+5:30,2018,,0,3,1 Year,Very Satisfied,High Growth,Work
407,2020/01/17 6:14:23 PM GMT+5:30,2018,,0,2,1 Year,Satisfied,Mid Growth,Work
408,2020/01/17 6:15:06 PM GMT+5:30,2017,,0,2,2 Years,Very Satisfied,Mid Growth,Higher Studies
409,2020/01/17 6:34:58 PM GMT+5:30,2019,,0,3,1 Year,Very Satisfied,High Growth,Work
410,2020/01/17 6:39:31 PM GMT+5:30,2018,Automobile,0,3,1 Year,Satisfied,High Growth,Higher Studies
411,2020/01/17 6:48:12 PM GMT+5:30,2016,Computer Science,1,3,< 1 Year,Satisfied,Mid Growth,Higher Studies
412,2020/01/17 7:23:45 PM GMT+5:30,2014,Automotive,1,2,1 Year,Not Satisfied,High Growth,Work
413,2020/01/17 7:42:59 PM GMT+5:30,2018,Service,0,2,1 Year,Very Satisfied,High Growth,Higher Studies
414,2020/01/17 7:45:46 PM GMT+5:30,2018,Software Testing,0,2,< 1 Year,Not Satisfied,Low Growth,Higher Studies
415,2020/01/17 7:56:24 PM GMT+5:30,2016,Operation analyst,0,3,1 Year,Very Satisfied,High Growth,Higher Studies
416,2020/01/17 7:58:45 PM GMT+5:30,2018,Software,1,3,< 1 Year,Satisfied,Mid Growth,Higher Studies
417,2020/01/17 8:16:16 PM GMT+5:30,2018,Tech services,0,3,1 Year,Not Satisfied,Low Growth,Higher Studies
418,2020/01/17 8:16:54 PM GMT+5:30,2018,Tech Services,0,2,< 1 Year,Not Satisfied,Low Growth,Higher Studies
419,2020/01/17 10:10:34 PM GMT+5:30,2017,Automotive Industry,0,2,2 Years,Very Satisfied,Mid Growth,Higher Studies
420,2020/01/18 10:57:35 PM GMT+5:30,2019,It services,0,1,< 1 Year,Not Satisfied,Low Growth,Work
421,2020/01/18 10:59:50 PM GMT+5:30,2019,Information Technology,0,1,< 1 Year,Very Satisfied,High Growth,Work
422,2020/01/18 11:02:11 PM GMT+5:30,2019,Telecom/R&D,0,2,< 1 Year,Very Satisfied,High Growth,Work
423,2020/01/18 11:07:12 PM GMT+5:30,2015,Machine Learning,0,1,< 1 Year,Very Satisfied,High Growth,Work
424,2020/01/18 11:10:04 PM GMT+5:30,2019,Data Backup and Engineering Solutions,1,2,< 1 Year,Very Satisfied,High Growth,Work
425,2020/01/18 11:35:14 PM GMT+5:30,2019,Software,0,1,< 1 Year,Very Satisfied,High Growth,Work
426,2020/01/19 12:52:38 AM GMT+5:30,2019,Software,1,2,< 1 Year,Very Satisfied,High Growth,Work
427,2020/01/19 12:58:09 AM GMT+5:30,2015,"UI, BIGDATA",1,2,2 Years,Very Satisfied,High Growth,Work
428,2020/01/19 4:11:21 AM GMT+5:30,2019,Consulting ,1,1,< 1 Year,Very Satisfied,High Growth,Work
429,2020/01/19 7:55:41 AM GMT+5:30,2005,Banking,0,3,3 Years,Satisfied,High Growth,Higher Studies
430,2020/01/19 9:24:08 AM GMT+5:30,2019,Technology consulting,1,1,< 1 Year,Very Satisfied,High Growth,Work
431,2020/01/19 10:23:24 AM GMT+5:30,2019,IT,1,1,< 1 Year,Satisfied,High Growth,Work
432,2020/01/19 10:38:34 AM GMT+5:30,2019,Travel Tech,0,1,< 1 Year,Very Satisfied,High Growth,Work
433,2020/01/19 12:17:00 PM GMT+5:30,2019,Healthcare,0,2,< 1 Year,Very Satisfied,High Growth,Work
434,2020/01/19 1:04:11 PM GMT+5:30,2019,Web Scrapiny,1,2,< 1 Year,Satisfied,High Growth,Work
435,2020/01/19 1:08:38 PM GMT+5:30,2019,Networking,0,1,< 1 Year,Very Satisfied,High Growth,Work
436,2020/01/19 5:47:15 PM GMT+5:30,2019,Insurance Domain,0,2,2 Years,Not Satisfied,Low Growth,Higher Studies
437,2020/01/19 6:46:07 PM GMT+5:30,2019,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
438,2020/01/20 8:33:01 AM GMT+5:30,2019,IT,1,2,< 1 Year,Satisfied,Mid Growth,Higher Studies
439,2020/01/20 10:26:22 AM GMT+5:30,2016,Web development,1,3,< 1 Year,Very Satisfied,High Growth,Work
440,2020/01/20 10:29:11 AM GMT+5:30,2019,IT,1,3,< 1 Year,Satisfied,Mid Growth,Work
441,2020/01/20 5:02:22 PM GMT+5:30,2019,IT,1,2,> 3 Years,Very Satisfied,High Growth,Work
442,2020/01/20 11:06:36 PM GMT+5:30,2019,Telecom,1,1,< 1 Year,Very Satisfied,High Growth,Work
443,2020/01/22 1:13:06 AM GMT+5:30,2019,Healthcare,0,1,< 1 Year,Very Satisfied,High Growth,Work
444,2020/01/22 1:32:59 PM GMT+5:30,2019,Telecommunication,0,2,< 1 Year,Satisfied,Mid Growth,Work
445,2020/01/22 11:35:27 PM GMT+5:30,2019,Consulting,0,2,< 1 Year,Very Satisfied,High Growth,Work
446,2020/01/23 2:18:37 AM GMT+5:30,2019,Networking / Telecommunication,0,1,< 1 Year,Very Satisfied,High Growth,Work
447,2020/01/25 11:21:29 AM GMT+5:30,2019,IT,0,3,< 1 Year,Satisfied,Mid Growth,Work
448,2020/02/07 8:43:26 AM GMT+5:30,2019,IT,0,1,< 1 Year,Very Satisfied,High Growth,Work
449,2020/02/11 7:32:21 PM GMT+5:30,2019,IT,0,1,< 1 Year,Very Satisfied,High Growth,Work
450,2020/01/17 4:53:33 PM GMT+5:30,2018,,0,2,2 Years,Very Satisfied,Mid Growth,Higher Studies
451,2020/01/17 5:05:02 PM GMT+5:30,2018,,0,2,< 1 Year,Not Satisfied,Low Growth,Work
452,2020/01/17 5:33:24 PM GMT+5:30,2019,,0,1,< 1 Year,Very Satisfied,High Growth,Work
453,2020/01/17 5:49:48 PM GMT+5:30,2019,,0,3,< 1 Year,Satisfied,Mid Growth,Work
454,2020/01/17 5:49:49 PM GMT+5:30,2018,,0,2,2 Years,Very Satisfied,High Growth,Work
455,2020/01/17 5:54:50 PM GMT+5:30,2016,,1,3,< 1 Year,Very Satisfied,High Growth,Work
456,2020/01/17 6:13:46 PM GMT+5:30,2018,,0,3,1 Year,Very Satisfied,High Growth,Work
457,2020/01/17 6:14:23 PM GMT+5:30,2018,,0,2,1 Year,Satisfied,Mid Growth,Work
458,2020/01/17 6:15:06 PM GMT+5:30,2017,,0,2,2 Years,Very Satisfied,Mid Growth,Higher Studies
459,2020/01/17 6:34:58 PM GMT+5:30,2019,,0,3,1 Year,Very Satisfied,High Growth,Work
460,2020/01/17 6:39:31 PM GMT+5:30,2018,Automobile,0,3,1 Year,Satisfied,High Growth,Higher Studies
461,2020/01/17 6:48:12 PM GMT+5:30,2016,Computer Science,1,3,< 1 Year,Satisfied,Mid Growth,Higher Studies
462,2020/01/17 7:23:45 PM GMT+5:30,2014,Automotive,1,2,1 Year,Not Satisfied,High Growth,Work
463,2020/01/17 7:42:59 PM GMT+5:30,2018,Service,0,2,1 Year,Very Satisfied,High Growth,Higher Studies
464,2020/01/17 7:45:46 PM GMT+5:30,2018,Software Testing,0,2,< 1 Year,Not Satisfied,Low Growth,Higher Studies
465,2020/01/17 7:56:24 PM GMT+5:30,2016,Operation analyst,0,3,1 Year,Very Satisfied,High Growth,Higher Studies
466,2020/01/17 7:58:45 PM GMT+5:30,2018,Software,1,3,< 1 Year,Satisfied,Mid Growth,Higher Studies
467,2020/01/17 8:16:16 PM GMT+5:30,2018,Tech services,0,3,1 Year,Not Satisfied,Low Growth,Higher Studies
468,2020/01/17 8:16:54 PM GMT+5:30,2018,Tech Services,0,2,< 1 Year,Not Satisfied,Low Growth,Higher Studies
469,2020/01/17 10:10:34 PM GMT+5:30,2017,Automotive Industry,0,2,2 Years,Very Satisfied,Mid Growth,Higher Studies
470,2020/01/18 10:57:35 PM GMT+5:30,2019,It services,0,1,< 1 Year,Not Satisfied,Low Growth,Work
471,2020/01/18 10:59:50 PM GMT+5:30,2019,Information Technology,0,1,< 1 Year,Very Satisfied,High Growth,Work
472,2020/01/18 11:02:11 PM GMT+5:30,2019,Telecom/R&D,0,2,< 1 Year,Very Satisfied,High Growth,Work
473,2020/01/18 11:07:12 PM GMT+5:30,2015,Machine Learning,0,1,< 1 Year,Very Satisfied,High Growth,Work
474,2020/01/18 11:10:04 PM GMT+5:30,2019,Data Backup and Engineering Solutions,1,2,< 1 Year,Very Satisfied,High Growth,Work
475,2020/01/18 11:35:14 PM GMT+5:30,2019,Software,0,1,< 1 Year,Very Satisfied,High Growth,Work
476,2020/01/19 12:52:38 AM GMT+5:30,2019,Software,1,2,< 1 Year,Very Satisfied,High Growth,Work
477,2020/01/19 12:58:09 AM GMT+5:30,2015,"UI, BIGDATA",1,2,2 Years,Very Satisfied,High Growth,Work
478,2020/01/19 4:11:21 AM GMT+5:30,2019,Consulting ,1,1,< 1 Year,Very Satisfied,High Growth,Work
479,2020/01/19 7:55:41 AM GMT+5:30,2005,Banking,0,3,3 Years,Satisfied,High Growth,Higher Studies
480,2020/01/19 9:24:08 AM GMT+5:30,2019,Technology consulting,1,1,< 1 Year,Very Satisfied,High Growth,Work
481,2020/01/19 10:23:24 AM GMT+5:30,2019,IT,1,1,< 1 Year,Satisfied,High Growth,Work
482,2020/01/19 10:38:34 AM GMT+5:30,2019,Travel Tech,0,1,< 1 Year,Very Satisfied,High Growth,Work
483,2020/01/19 12:17:00 PM GMT+5:30,2019,Healthcare,0,2,< 1 Year,Very Satisfied,High Growth,Work
484,2020/01/19 1:04:11 PM GMT+5:30,2019,Web Scrapiny,1,2,< 1 Year,Satisfied,High Growth,Work
485,2020/01/19 1:08:38 PM GMT+5:30,2019,Networking,0,1,< 1 Year,Very Satisfied,High Growth,Work
486,2020/01/19 5:47:15 PM GMT+5:30,2019,Insurance Domain,0,2,2 Years,Not Satisfied,Low Growth,Higher Studies
487,2020/01/19 6:46:07 PM GMT+5:30,2019,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
488,2020/01/20 8:33:01 AM GMT+5:30,2019,IT,1,2,< 1 Year,Satisfied,Mid Growth,Higher Studies
489,2020/01/20 10:26:22 AM GMT+5:30,2016,Web development,1,3,< 1 Year,Very Satisfied,High Growth,Work
490,2020/01/20 10:29:11 AM GMT+5:30,2019,IT,1,3,< 1 Year,Satisfied,Mid Growth,Work
491,2020/01/20 5:02:22 PM GMT+5:30,2019,IT,1,2,> 3 Years,Very Satisfied,High Growth,Work
492,2020/01/20 11:06:36 PM GMT+5:30,2019,Telecom,1,1,< 1 Year,Very Satisfied,High Growth,Work
493,2020/01/22 1:13:06 AM GMT+5:30,2019,Healthcare,0,1,< 1 Year,Very Satisfied,High Growth,Work
494,2020/01/22 1:32:59 PM GMT+5:30,2019,Telecommunication,0,2,< 1 Year,Satisfied,Mid Growth,Work
495,2020/01/22 11:35:27 PM GMT+5:30,2019,Consulting,0,2,< 1 Year,Very Satisfied,High Growth,Work
496,2020/01/23 2:18:37 AM GMT+5:30,2019,Networking / Telecommunication,0,1,< 1 Year,Very Satisfied,High Growth,Work
497,2020/01/25 11:21:29 AM GMT+5:30,2019,IT,0,3,< 1 Year,Satisfied,Mid Growth,Work
498,2020/02/07 8:43:26 AM GMT+5:30,2019,IT,0,1,< 1 Year,Very Satisfied,High Growth,Work
499,2020/02/11 7:32:21 PM GMT+5:30,2019,IT,0,1,< 1 Year,Very Satisfied,High Growth,Work
500,2020/01/17 8:16:16 PM GMT+5:30,2018,Tech services,0,3,1 Year,Not Satisfied,Low Growth,Higher Studies
501,2020/01/17 8:16:16 PM GMT+5:31,2019,Tech services,0,3,2 Year,Not Satisfied,Low Growth,Higher Studies
502,2020/01/17 8:16:16 PM GMT+5:32,2020,Tech services,0,3,3 Year,Not Satisfied,Low Growth,Higher Studies
503,2020/01/17 8:16:16 PM GMT+5:33,2021,Tech services,0,3,4 Year,Not Satisfied,Low Growth,Higher Studies
504,2020/01/17 8:16:16 PM GMT+5:34,2022,Tech services,0,3,5 Year,Not Satisfied,Low Growth,Higher Studies
505,2020/01/17 8:16:16 PM GMT+5:35,2023,Tech services,0,3,6 Year,Not Satisfied,Low Growth,Higher Studies
506,2020/01/17 8:16:16 PM GMT+5:36,2024,Tech services,0,3,7 Year,Not Satisfied,Low Growth,Higher Studies
507,2020/01/17 8:16:16 PM GMT+5:37,2025,Tech services,0,3,8 Year,Not Satisfied,Low Growth,Higher Studies
508,2020/01/17 8:16:16 PM GMT+5:38,2026,Tech services,0,3,9 Year,Not Satisfied,Low Growth,Higher Studies
509,2020/01/17 8:16:16 PM GMT+5:39,2027,Tech services,0,3,10 Year,Not Satisfied,Low Growth,Higher Studies
510,2020/01/17 8:16:16 PM GMT+5:40,2028,Tech services,0,3,11 Year,Not Satisfied,Low Growth,Higher Studies
511,2020/01/17 8:16:16 PM GMT+5:41,2029,Tech services,0,3,12 Year,Not Satisfied,Low Growth,Higher Studies
512,2020/01/17 8:16:16 PM GMT+5:42,2030,Tech services,0,3,13 Year,Not Satisfied,Low Growth,Higher Studies
513,2020/01/17 8:16:16 PM GMT+5:43,2031,Tech services,0,3,14 Year,Not Satisfied,Low Growth,Higher Studies
514,2020/01/17 8:16:16 PM GMT+5:44,2032,Tech services,0,3,15 Year,Not Satisfied,Low Growth,Higher Studies
515,2020/01/17 8:16:16 PM GMT+5:45,2033,Tech services,0,3,16 Year,Not Satisfied,Low Growth,Higher Studies
516,2020/01/17 8:16:16 PM GMT+5:46,2034,Tech services,0,3,17 Year,Not Satisfied,Low Growth,Higher Studies
517,2020/01/17 8:16:16 PM GMT+5:71,2059,Tech services,0,3,42 Year,Not Satisfied,Low Growth,Higher Studies
518,2020/01/17 8:16:16 PM GMT+5:72,2060,Tech services,0,3,43 Year,Not Satisfied,Low Growth,Higher Studies
519,2020/01/17 8:16:16 PM GMT+5:73,2061,Tech services,0,3,44 Year,Not Satisfied,Low Growth,Higher Studies
520,2020/01/19 7:55:41 AM GMT+5:30,2005,Banking,0,3,3 Years,Satisfied,High Growth,Higher Studies
521,2020/01/19 7:55:41 AM GMT+5:31,2006,Banking,0,3,4 Years,Satisfied,High Growth,Higher Studies
522,2020/01/19 7:55:41 AM GMT+5:32,2007,Banking,0,3,5 Years,Satisfied,High Growth,Higher Studies
523,2020/01/19 7:55:41 AM GMT+5:33,2008,Banking,0,3,6 Years,Satisfied,High Growth,Higher Studies
524,2020/01/19 7:55:41 AM GMT+5:34,2009,Banking,0,3,7 Years,Satisfied,High Growth,Higher Studies
525,2020/01/19 7:55:41 AM GMT+5:35,2010,Banking,0,3,8 Years,Satisfied,High Growth,Higher Studies
526,2020/01/19 7:55:41 AM GMT+5:36,2011,Banking,0,3,9 Years,Satisfied,High Growth,Higher Studies
527,2020/01/19 7:55:41 AM GMT+5:37,2012,Banking,0,3,10 Years,Satisfied,High Growth,Higher Studies
528,2020/01/19 7:55:41 AM GMT+5:38,2013,Banking,0,3,11 Years,Satisfied,High Growth,Higher Studies
529,2020/01/19 7:55:41 AM GMT+5:39,2014,Banking,0,3,12 Years,Satisfied,High Growth,Higher Studies
530,2020/01/19 7:55:41 AM GMT+5:40,2015,Banking,0,3,13 Years,Satisfied,High Growth,Higher Studies
531,2020/01/19 7:55:41 AM GMT+5:41,2016,Banking,0,3,14 Years,Satisfied,High Growth,Higher Studies
532,2020/01/19 7:55:41 AM GMT+5:42,2017,Banking,0,3,15 Years,Satisfied,High Growth,Higher Studies
533,2020/01/19 7:55:41 AM GMT+5:43,2018,Banking,0,3,16 Years,Satisfied,High Growth,Higher Studies
534,2020/01/19 7:55:41 AM GMT+5:44,2019,Banking,0,3,17 Years,Satisfied,High Growth,Higher Studies
535,2020/01/19 7:55:41 AM GMT+5:45,2020,Banking,0,3,18 Years,Satisfied,High Growth,Higher Studies
536,2020/01/19 7:55:41 AM GMT+5:46,2021,Banking,0,3,19 Years,Satisfied,High Growth,Higher Studies
537,2020/01/19 6:46:07 PM GMT+5:30,2019,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
538,2020/01/19 6:46:07 PM GMT+5:31,2020,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
539,2020/01/19 6:46:07 PM GMT+5:32,2021,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
540,2020/01/19 6:46:07 PM GMT+5:33,2022,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
541,2020/01/19 6:46:07 PM GMT+5:34,2023,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
542,2020/01/19 6:46:07 PM GMT+5:35,2024,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
543,2020/01/19 6:46:07 PM GMT+5:36,2025,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
544,2020/01/19 6:46:07 PM GMT+5:37,2026,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
545,2020/01/19 6:46:07 PM GMT+5:38,2027,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
546,2020/01/19 6:46:07 PM GMT+5:39,2028,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
547,2020/01/19 6:46:07 PM GMT+5:40,2029,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
548,2020/01/19 6:46:07 PM GMT+5:41,2030,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
549,2020/01/19 6:46:07 PM GMT+5:42,2031,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
550,2020/01/19 6:46:07 PM GMT+5:43,2032,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
551,2020/01/19 6:46:07 PM GMT+5:44,2033,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
552,2020/01/19 6:46:07 PM GMT+5:45,2034,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
553,2020/01/19 6:46:07 PM GMT+5:46,2035,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
554,2020/01/19 6:46:07 PM GMT+5:47,2036,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
555,2020/01/17 8:16:16 PM GMT+5:43,2031,Tech services,1,3,14 Year,Not Satisfied,Low Growth,Higher Studies
556,2020/01/17 8:16:16 PM GMT+5:44,2032,Tech services,1,3,15 Year,Not Satisfied,Low Growth,Higher Studies
557,2020/01/17 8:16:16 PM GMT+5:45,2033,Tech services,1,3,16 Year,Not Satisfied,Low Growth,Higher Studies
558,2020/01/17 8:16:16 PM GMT+5:46,2034,Tech services,1,3,17 Year,Not Satisfied,Low Growth,Higher Studies
559,2020/01/17 8:16:16 PM GMT+5:47,2035,Tech services,1,3,18 Year,Not Satisfied,Low Growth,Higher Studies
560,2020/01/17 8:16:16 PM GMT+5:48,2036,Tech services,1,3,19 Year,Not Satisfied,Low Growth,Higher Studies
561,2020/01/17 8:16:16 PM GMT+5:49,2037,Tech services,1,3,20 Year,Not Satisfied,Low Growth,Higher Studies
562,2020/01/17 8:16:16 PM GMT+5:50,2038,Tech services,1,3,21 Year,Not Satisfied,Low Growth,Higher Studies
563,2020/01/17 8:16:16 PM GMT+5:51,2039,Tech services,1,3,22 Year,Not Satisfied,Low Growth,Higher Studies
564,2020/01/17 8:16:16 PM GMT+5:52,2040,Tech services,1,3,23 Year,Not Satisfied,Low Growth,Higher Studies
