Branch,Gender,10th%,12th%,Sem_1,Sem_2,Sem_3,Sem_4,Sem_5,Sem_6,Aggregate,Admission_Entrance_Exam,Company,Tier,No_of_Offers,Company Type
ECE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,Management,infosys,3,1,MNC
ISE,Female,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,infosys,3,1,MNC
ISE,Female,FCD,FC,FC,FC,SC,SC,SC,FC,FC,Management,infosys,3,1,MNC
ISE,Female,FCD,FC,SC,FC,SC,SC,FC,SC,SC,Management,infosys,3,1,MNC
ISE,Female,FCD,FCD,SC,FC,FC,FC,FC,FC,FC,COMED-K,infosys,3,1,MNC
ISE,Male,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,COMED-K,infosys,3,1,MNC
ISE,Female,FCD,FC,FC,FC,SC,SC,FC,SC,FC,Management,infosys,3,1,MNC
ISE,Male,FCD,FCD,FC,FC,SC,SC,FC,FC,FC,Management,infosys,3,1,MNC
ISE,Female,FCD,FCD,FC,FC,FC,SC,FC,FC,FC,CET,infosys,3,1,MNC
ISE,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,infosys,3,1,MNC
ISE,Female,FCD,FCD,FCD,FC,FC,FC,FC,FC,FC,CET,infosys,3,1,MNC
ISE,Female,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,Management,infosys,3,1,MNC
MECH,Male,FCD,FCD,FCD,FCD,FC,FCD,FC,FC,FC,CET,infosys,3,1,MNC
MECH,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,COMED-K,infosys,3,1,MNC
MECH,Male,FCD,FCD,FCD,FCD,FCD,FC,FCD,FCD,FCD,CET,infosys,3,1,MNC
MECH,Male,FCD,FCD,FCD,FCD,FCD,FC,FC,FCD,FCD,CET,infosys,3,1,MNC
CSE,Male,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FCD,CET,infosys,1,1,MNC
CSE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FC,FCD,FCD,CET,infosys,1,1,MNC
CSE,Male,FCD,FCD,FCD,FCD,FCD,FCD,FC,FCD,FCD,CET,infosys,1,2,MNC
CSE,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,infosys,2,1,MNC
CSE,Male,FCD,FCD,FCD,FCD,FC,FC,SC,FC,FC,Management,infosys,3,1,MNC
ISE,Male,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,CET,instamojo technologies,1,1,Private 
CSE,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,itron india pvt ltd.,1,1,Private
MECH,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,jsw steel limited,2,1,MNC
MECH,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,Management,jsw steel limited,2,1,MNC
MECH,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,jsw steel limited,2,1,MNC
MECH,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,COMED-K,jsw steel limited,2,2,MNC
MECH,Male,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,COMED-K,jsw steel limited,2,2,MNC
MECH,Male,FCD,FC,FC,FCD,FC,FC,FC,FC,FC,COMED-K,jsw steel limited,2,2,MNC
ECE,Male,FCD,FC,FC,FCD,FC,FC,FC,FC,FC,COMED-K,kpit,2,1,MNC
ECE,Male,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,kpit,2,1,MNC
ECE,Male,FCD,FCD,FCD,FCD,FCD,FC,FC,FC,FC,CET,kpit,2,1,MNC
ECE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,CET,kpit,2,1,MNC
ECE,Male,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,kpit,2,1,MNC
ECE,Male,FC,FCD,FC,FC,FC,SC,FC,FC,FC,Management,kpit,2,1,MNC
ECE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,CET,kpit,2,1,MNC
ECE,Male,FCD,FCD,FC,FCD,SC,SC,FC,FC,FC,Management,kpit,2,1,MNC
ECE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,CET,kpit,2,1,MNC
ECE,Female,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,kpit,2,1,MNC
ECE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,CET,kpit,2,1,MNC
ECE,Male,FCD,FCD,FCD,FC,FC,FC,FC,FC,FC,CET,kpit,2,1,MNC
ECE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,CET,kpit,2,1,MNC
ECE,Male,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,COMED-K,kpit,2,1,MNC
ECE,Male,FCD,FCD,FCD,FCD,FCD,FC,FCD,FCD,FCD,CET,kpit,2,1,MNC
ECE,Male,FC,FCD,FC,FC,FC,FC,FC,FC,FC,Management,kpit,2,1,MNC
ECE,Male,FCD,FCD,FCD,FCD,FC,FC,FCD,FCD,FCD,COMED-K,kpit,2,1,MNC
ECE,Male,FCD,FCD,FC,FC,SC,SC,SC,FC,FC,Management,kpit,2,1,MNC
ECE,Male,FCD,FCD,FC,FC,FC,FCD,FC,FCD,FC,Management,kpit,2,1,MNC
CSE,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,COMED-K,kpmg,2,1,Partnership
CSE,Female,FCD,FCD,FCD,FCD,FC,FCD,FC,FCD,FCD,Management,kpmg,2,2,Partnership
ISE,Male,FCD,FC,FC,FC,SC,FC,SC,FC,FC,Management,kpmg,2,2,Partnership
CSE,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,l&t technology services ltd,2,1,MNC
CSE,Male,FCD,FCD,FC,SC,FC,SC,FC,FC,FC,Management,l&t technology services ltd,2,1,MNC
ECE,Male,FCD,FCD,FCD,FCD,FC,FC,FC,FCD,FCD,COMED-K,l&t technology services ltd,2,1,MNC
ECE,Male,FCD,FC,FC,FC,SC,SC,SC,SC,SC,COMED-K,l&t technology services ltd,2,1,MNC
ECE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,COMED-K,l&t technology services ltd,2,1,MNC
ECE,Male,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,l&t technology services ltd,2,1,MNC
MECH,Male,FCD,FCD,FCD,FC,FC,FC,FCD,FC,FC,CET,l&t technology services ltd,2,1,MNC
CSE,Male,FCD,FCD,FCD,FCD,FC,FCD,FC,FCD,FCD,CET,microchip,1,1,Private
CSE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,COMED-K,microchip,1,1,Private
ECE,Female,FCD,FCD,FCD,FCD,FC,FC,FCD,FCD,FCD,COMED-K,microchip,1,1,Private
CSE,Male,FCD,FCD,FCD,FC,FCD,FCD,FCD,FC,FCD,CET,microchip,1,2,Private
ECE,Female,FCD,FCD,FCD,FCD,FCD,FC,FCD,FCD,FCD,CET,microchip,1,2,Private
ECE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,CET,microchip,1,2,Private
CSE,Male,FCD,FCD,FCD,FC,FC,FC,FC,FC,FC,COMED-K,microchip,1,2,Private
ECE,Female,FCD,FCD,FCD,FCD,FC,FCD,FCD,FCD,FCD,COMED-K,microchip,1,2,Private
CSE,Male,FCD,FCD,FCD,FCD,FC,FCD,FC,FCD,FCD,COMED-K,microsoft,1,1,MNC
CSE,Female,FC,FCD,SC,FC,FC,FC,FC,FC,FC,Management,musigma,3,1,Private
MECH,Male,FCD,FCD,FCD,FCD,FC,FCD,FCD,FCD,FCD,CET,musigma,3,1,Private
ISE,Male,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,COMED-K,myntra designs,1,2,Private
ISE,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,myntra designs,1,2,Private
CSE,Male,FC,FCD,FC,FC,FC,FC,FC,FC,FC,CET,ncr,1,1,MNC
CSE,Male,FCD,FCD,FC,FC,SC,FC,FC,FC,FC,CET,ninjacart,3,1,Private
CSE,Male,FCD,FC,FC,FC,SC,SC,SC,FC,SC,Management,ninjacart,3,1,Private
CSE,Male,FCD,FC,FC,FC,SC,SC,SC,FC,FC,Management,ninjacart,3,1,Private
MECH,Male,FCD,FCD,SC,FC,FC,SC,SC,FC,FC,COMED-K,ninjacart,3,1,Private
CSE,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,COMED-K,nokia,2,1,MNC
ECE,Female,FCD,FCD,FCD,FCD,FCD,FC,FC,FCD,FCD,Management,nokia,2,1,MNC
ECE,Male,FCD,FCD,FCD,FCD,FCD,FC,FC,FC,FC,CET,nokia,2,2,MNC
ISE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,CET,nokia,2,2,MNC
CSE,Male,FCD,FCD,FCD,FCD,FC,FC,FCD,FCD,FCD,CET,nokia,2,2,MNC
CSE,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,nokia,2,2,MNC
ECE,Female,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,CET,nokia,2,2,MNC
CSE,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,ntt data,2,1,MNC
CSE,Male,FCD,FC,FC,FC,SC,SC,FC,FC,FC,CET,ntt data,2,1,MNC
CSE,Male,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,CET,ntt data,2,1,MNC
ECE,Female,FCD,FCD,FC,FC,FC,SC,SC,FC,FC,CET,ntt data,2,1,MNC
ECE,Female,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,CET,ntt data,2,1,MNC
CSE,Male,FC,FCD,SC,SC,SC,FC,FC,FC,SC,CET,ntt data,2,1,MNC
ECE,Male,FCD,FCD,FC,FCD,SC,FC,FC,FC,FC,COMED-K,ntt data,2,2,MNC
CSE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,CET,ge,1,2,MNC
ISE,Male,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,CET,ge,1,2,MNC
ISE,Male,FC,FCD,FC,FC,SC,FC,FC,FC,FC,CET,one origin,3,1,Private
ECE,Male,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,COMED-K,optum,2,1,Private
ISE,Female,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,optum,2,1,Private
ISE,Male,FCD,FCD,FC,FC,SC,FC,FC,FC,FC,CET,optum,2,1,Private
ISE,Female,FCD,FCD,FCD,FCD,FC,FCD,FCD,FCD,FCD,CET,optum,2,2,Private
CSE,Male,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,COMED-K,oracle,1,2,MNC
CSE,Male,FCD,FCD,FCD,FCD,FC,FCD,FCD,FCD,FCD,COMED-K,oracle,1,2,MNC
CSE,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,COMED-K,oracle,1,2,MNC
CSE,Male,FCD,FCD,FCD,FCD,FCD,FCD,FC,FCD,FCD,CET,oracle,1,2,MNC
CSE,Male,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,COMED-K,oracle,1,2,MNC
CSE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,CET,oracle,1,2,MNC
CSE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FC,FCD,FCD,CET,oracle,1,2,MNC
CSE,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,oracle,1,2,MNC
ISE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FC,FCD,FCD,CET,oracle,1,2,MNC
ISE,Female,FCD,FCD,FCD,FCD,FC,FCD,FC,FC,FCD,Management,oracle,1,2,MNC
CSE,Male,FCD,FCD,FCD,FCD,FCD,FC,FC,FCD,FCD,COMED-K,oracle,1,2,MNC
ISE,Female,FCD,FCD,FCD,FCD,FCD,FC,FC,FCD,FCD,CET,oracle,1,2,MNC
ISE,Female,FCD,FCD,FCD,FCD,FC,FCD,FCD,FCD,FCD,CET,oracle,1,2,MNC
CSE,Male,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,oracle,1,1,MNC
ISE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,COMED-K,oracle,1,2,MNC
CSE,Male,FCD,FCD,FCD,FCD,FC,FC,FCD,FC,FC,CET,oracle,1,2,MNC
ISE,Male,FCD,FCD,FCD,FCD,FCD,FC,FC,FC,FC,CET,perfios,2,2,Private
ISE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,COMED-K,perfios,2,2,Private
CSE,Female,FCD,FCD,FCD,FCD,FC,FC,FCD,FCD,FCD,CET,perfios,2,2,Private
CSE,Male,FCD,FCD,FCD,FCD,FC,FCD,FC,FC,FC,COMED-K,prompt cloud,2,2,Private
CSE,Male,FCD,FC,FCD,FCD,FC,FC,FC,FC,FC,COMED-K,prompt cloud,2,2,Private
MECH,Male,FCD,FCD,FCD,FCD,FC,FC,FCD,FCD,FCD,CET,quest global,3,1,Private
MECH,Female,FC,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,quest global,3,1,Private
MECH,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,quest global,3,1,Private
MECH,Male,FCD,FCD,FCD,FCD,FCD,FC,FC,FCD,FCD,CET,quest global,3,1,Private
MECH,Female,FCD,FCD,FC,FC,FCD,FC,FC,FC,FC,Management,quest global,3,1,Private
CSE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,CET,relevance lab,2,1,Private
ISE,Female,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,CET,relevance lab,2,1,Private
ISE,Male,FCD,FCD,FC,FC,FC,SC,SC,SC,SC,COMED-K,relevance lab,2,2,Private
MECH,Male,FCD,FCD,FCD,FCD,FC,FC,FC,FCD,FCD,CET,reliance retail limited,2,1,MNC
MECH,Male,FCD,FCD,FCD,FCD,FC,FCD,FC,FCD,FCD,COMED-K,reliance retail limited,2,1,MNC
MECH,Male,FCD,FCD,FCD,FCD,FCD,FCD,FC,FCD,FCD,CET,reliance retail limited,2,1,MNC
MECH,Male,FCD,FC,FCD,FCD,FC,FC,FC,FC,FC,COMED-K,reliance retail limited,2,1,MNC
MECH,Male,FCD,FCD,FC,FC,FC,FC,FCD,FC,FC,CET,reliance retail limited,2,1,MNC
MECH,Male,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,CET,reliance retail limited,2,1,MNC
MECH,Male,FCD,FCD,FCD,FCD,FC,FC,FC,FCD,FCD,CET,reliance retail limited,2,1,MNC
CSE,Male,FCD,FC,FC,FC,FC,FCD,FCD,FC,FC,Management,robert bosch,2,1,MNC
ECE,Male,FCD,FCD,FCD,FCD,FC,FC,FCD,FCD,FCD,COMED-K,robert bosch,2,1,MNC
ECE,Female,FCD,FCD,FC,FCD,FC,FCD,FCD,FCD,FCD,COMED-K,robert bosch,2,1,MNC
ECE,Female,FCD,FCD,FCD,FCD,FCD,FC,FC,FCD,FCD,COMED-K,robert bosch,2,1,MNC
ECE,Female,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,robert bosch,2,1,MNC
ECE,Male,FCD,FC,FC,FCD,FC,FC,FC,FC,FC,Management,robert bosch,2,1,MNC
ECE,Male,FCD,FCD,FCD,FCD,FCD,FC,FCD,FCD,FCD,CET,robert bosch,2,1,MNC
ECE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,CET,robert bosch,2,1,MNC
ECE,Female,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,robert bosch,2,1,MNC
ECE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,CET,robert bosch,2,1,MNC
ECE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,CET,robert bosch,2,1,MNC
ECE,Male,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,COMED-K,robert bosch,2,1,MNC
ECE,Male,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,robert bosch,2,1,MNC
ECE,Male,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,CET,robert bosch,2,1,MNC
ECE,Male,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,CET,robert bosch,2,1,MNC
ECE,Female,FCD,FCD,FCD,FCD,FC,FCD,FCD,FCD,FCD,CET,robert bosch,2,1,MNC
ECE,Male,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,CET,robert bosch,2,2,MNC
CSE,Female,FC,FCD,FC,FC,FC,FC,FC,FC,FC,Management,robert bosch,2,2,MNC
CSE,Male,FCD,FCD,FCD,FC,FC,FC,FC,FC,FC,Management,samsung,1,1,MNC
CSE,Male,FCD,FCD,FCD,FCD,FC,FCD,FC,FCD,FCD,CET,samsung,1,1,MNC
CSE,Male,FCD,FCD,FCD,FCD,FCD,FCD,FC,FCD,FCD,CET,samsung,1,1,MNC
CSE,Male,FCD,FCD,FCD,FC,FC,FCD,FC,FC,FC,COMED-K,sap labs ,1,1,MNC
ISE,Female,FCD,FCD,FCD,FCD,FC,FC,FC,FCD,FCD,CET,shell,1,2,MNC
CSE,Male,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,CET,societe generale,1,2,MNC
CSE,Female,FCD,FCD,FC,FCD,FC,FCD,FC,FCD,FCD,CET,software ag,2,1,MNC
CSE,Male,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,COMED-K,sprinklr,1,1,Private
ECE,Male,FCD,FCD,FCD,FCD,FC,FC,SC,FC,FC,CET,standard chartered,2,1,MNC
CSE,Male,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,CET,subex,2,1,MNC
ECE,Male,FCD,FCD,FC,FCD,FC,FC,FCD,FCD,FCD,COMED-K,subex,2,1,MNC
CSE,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,tally solutions,2,1,Private
ISE,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,COMED-K,tally solutions,2,2,Private
ISE,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,tally solutions,2,1,Private
ISE,Female,FCD,FCD,FCD,FC,FC,FC,FC,FC,FC,CET,target,1,1,MNC
ISE,Female,FCD,FCD,FCD,FC,FCD,FCD,FC,FCD,FCD,Management,target,1,2,MNC
CSE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,CET,target,1,2,MNC
ISE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,COMED-K,target,1,2,MNC
ISE,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,COMED-K,target,1,2,MNC
ECE,Female,FCD,FCD,FCD,FCD,FCD,FC,FC,FCD,FCD,CET,target,1,2,MNC
CSE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,CET,target,1,2,MNC
CSE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,Management,target,1,2,MNC
CSE,Female,FC,FC,SC,SC,SC,FC,FC,FC,SC,CET,tech tree,3,1,Private
ECE,Male,FCD,FCD,FCD,FCD,FC,FC,FCD,FCD,FCD,COMED-K,tektronix,1,2,Private 
ECE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,COMED-K,tektronix,1,2,Private 
CSE,Male,FCD,FCD,FCD,FC,FC,FC,FC,FC,FC,COMED-K,themathcompany,2,1,Private 
MECH,Male,FCD,FC,FC,FC,SC,SC,SC,SC,SC,COMED-K,toyota kirloskar motor pvt ltd,2,1,MNC
ISE,Male,FCD,FC,FC,FCD,FC,FC,SC,FC,FC,Management,ugam solutions pvt ltd,2,1,Private 
ISE,Male,FCD,FCD,FCD,FCD,FC,FCD,FC,FCD,FCD,COMED-K,ugam solutions pvt ltd,2,1,Private 
CSE,Male,FCD,FCD,FCD,FCD,FC,FCD,FC,FCD,FCD,CET,ugam solutions pvt ltd,2,2,Private 
ISE,Male,FCD,FCD,FCD,FCD,FCD,FCD,FC,FC,FCD,CET,unacademy,1,2,Private
CSE,Female,FCD,FCD,SC,FC,FC,FCD,FC,FC,FC,Management,vantage agora,2,1,Private
CSE,Male,FCD,FCD,FCD,FCD,FC,FCD,FC,FC,FC,Management,wipro,2,1,MNC
CSE,Male,FCD,FC,FC,FC,FC,FC,SC,SC,SC,COMED-K,wipro,2,1,MNC
CSE,Male,FCD,FCD,FCD,FCD,FCD,FC,FC,FCD,FCD,COMED-K,wipro,2,1,MNC
CSE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,CET,wipro,2,1,MNC
CSE,Female,FCD,FCD,FCD,FCD,FCD,FC,FC,FCD,FCD,COMED-K,wipro,2,1,MNC
CSE,Female,FC,FCD,FC,FCD,FC,FC,FC,FC,FC,Management,wipro,2,1,MNC
CSE,Female,FCD,FCD,FC,FC,FC,FC,SC,FC,FC,Management,wipro,2,1,MNC
CSE,Male,FCD,FC,SC,FC,FC,SC,FC,FC,FC,CET,wipro,2,1,MNC
CSE,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,wipro,2,1,MNC
CSE,Female,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,wipro,2,1,MNC
CSE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,CET,wipro,2,1,MNC
CSE,Female,FCD,FCD,FCD,FCD,FC,FC,FCD,FC,FC,Management,wipro,2,1,MNC
CSE,Male,FCD,FCD,FC,FC,FC,FC,SC,FC,FC,COMED-K,wipro,2,1,MNC
ECE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,COMED-K,wipro,2,1,MNC
ECE,Male,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,COMED-K,wipro,2,1,MNC
ECE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,Management,wipro,2,1,MNC
ECE,Male,FCD,FC,FC,FCD,FC,SC,FC,FC,FC,Management,wipro,2,1,MNC
ISE,Male,FC,FCD,FC,FC,FC,SC,FC,FC,FC,COMED-K,wipro,2,1,MNC
ISE,Male,FCD,FCD,FCD,FC,FC,FC,FC,FC,FC,CET,wipro,2,1,MNC
ISE,Female,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,CET,wipro,2,1,MNC
ISE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FC,FCD,FCD,CET,wipro,2,1,MNC
ISE,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,COMED-K,wipro,2,1,MNC
ISE,Male,FCD,FCD,FCD,FC,FC,FC,FC,FC,FC,COMED-K,wipro,2,1,MNC
ISE,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,COMED-K,wipro,2,1,MNC
ISE,Female,FCD,FCD,FC,FC,FCD,FCD,FC,FC,FC,COMED-K,wipro,2,1,MNC
MECH,Male,FCD,FC,FCD,FCD,FC,FC,FC,SC,FC,COMED-K,wipro,2,1,MNC
CSE,Male,FCD,FCD,FCD,FC,FC,FC,FC,FC,FC,COMED-K,wipro,2,2,MNC
CSE,Male,FCD,FC,SC,FC,SC,FC,FC,FC,FC,Management,wipro,2,2,MNC
ECE,Female,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,wipro,2,2,MNC
ISE,Female,FCD,FCD,FCD,FCD,FCD,FC,FC,FCD,FCD,COMED-K,wipro,2,2,MNC
ISE,Male,FCD,FCD,FCD,FC,FCD,FCD,FC,FCD,FCD,COMED-K,wissen technology private limited,1,2,Private
CSE,Male,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,CET,wissen technology private limited,1,2,Private
CSE,Male,FCD,FCD,FCD,FC,FC,FC,FC,FC,FC,COMED-K,wissen technology private limited,1,2,Private
ISE,Female,FCD,FCD,FC,FCD,FC,FCD,FC,FCD,FCD,CET,y media labs,1,1,Private 
ISE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,COMED-K,y media labs,1,2,Private 
ISE,Male,FCD,FCD,FCD,FC,FC,FC,FC,FC,FC,CET,y media labs,1,2,Private 
ISE,Male,FCD,FCD,FCD,FCD,FCD,FCD,FC,FCD,FCD,CET,y media labs,1,2,Private 
CSE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,CET,y media labs,1,2,Private 
CSE,Male,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,CET,y media labs,1,2,Private 
CSE,Male,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,CET,yahoo,1,2,MNC
ISE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,CET,youplus,2,1,Private 
ISE,Male,FCD,FC,FC,FC,FC,FC,FC,FC,FC,COMED-K,youplus,2,1,Private 
ISE,Male,FCD,FC,FC,FC,SC,FC,FC,FC,FC,COMED-K,youplus,2,2,Private 